rank,name,anime,favorites,url,description,Age,Birthday,Nationality,Height,Occupation,image
351,Vanitas(ヴァニタス),Vanitas no KarteVanitas no Karte Part 2Vanitas no Karte: En Route Pour le Gévaudan,6324,https://myanimelist.net/character/136691/Vanitas,"Age: 18 
 Height: 176 cm (5'9"") 
 Birthday: February 7 
 Zodiac: Aquarius 
  
 Vanitas is a doctor who specializes in vampires. He is a human being who inherited his name and the Book of Vanitas from the infamous vampire. 
 
   Voice Actors  Hanae, NatsukiJapanese  Lemaire, BrieucFrench  Alonso, RenanPortuguese (BR)  Robinson, ZenoEnglish  Bautista, RicardoSpanish  Leigh, CheramiEnglish  Kreuer, TimGerman  
 
 See MoreRecent Featured Articles Top 10 Best Classic Shonen Manga Ever!Shonen manga is awesome - the action, hot characters, and some cliches that tell us life lessons. We picked the timeless masterpieces from the first-class magazines!byMisterD98242,628viewsRecommendationCollectionActionMangaka 
   $(window).on('load', function(){
        $('#myanimelist .character-anime + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Anime List! No sign up required.</p>'
        });
        $('#myanimelist .character-manga + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Manga List! No sign up required.</p>'
        });
    });",18,,,"176 cm (5'9"")",,"Error processing https://myanimelist.net/character/136691/Vanitas: Page.goto: Timeout 30000ms exceeded.
Call log:
navigating to ""https://myanimelist.net/character/136691/Vanitas"", waiting until ""load""
"
352,"Lee, Rock(ロック・リー)",Naruto: Shippuuden Movie 1Naruto SD: Rock Lee no Seishun Full-Power NindenNaruto,6262,https://myanimelist.net/character/306/Rock_Lee,"Age: Part I: 13-14, Part II: 16-17 Boruto: 32-33 
 Birthday: November 27 
 Horoscope: Sagittarius 
 Blood Type: A 
 Height: Part I: 158.5 cm-162.5 cm, Part II: 172 cm, Blank Period: 177 cm 
 Weight: Part I: 46.6 kg-47.5 kg, Part II: 54.7 kg 
 Hair: Black 
 Eyes: Black 
 Rank:Part I: Genin, Part II: Chūnin, Gaiden: Jōnin 
 Occupation: Chūnin Exams Proctor (Boruto only) 
 Academy Grad. Age: 12 
 Chūnin Prom. Age: 15 
  
 Rock Lee is a fictional character in the anime and manga series Naruto created by Masashi Kishimoto. Kishimoto considers Lee his favorite character to draw, and at first designed Lee to symbolize human weakness.In the anime and manga, Lee is a ninja affiliated with the village of Konohagakure, and is a member of Team Guy, which consists of himself, Neji Hyuga, Tenten, and Might Guy—the team's leader. Unable to use most ninja techniques, Lee dedicates himself to using solely taijutsu, ninja techniques similar to martial arts. Lee dreams of becoming a ""splendid ninja"" despite his inabilities. 
 
   Voice Actors  Masukawa, YoichiJapanese  Donovan, BrianEnglish  Di Benedetto, MassimoItalian  Keplmair, ThiagoPortuguese (BR)  Kossuth, GáborHungarian  Magon, YehonatanHebrew  Hong, Beom GiKorean  Segal, YuvalHebrew  Denuit, Jean-PierreFrench  Kreuer, TimGerman  Díaz, CarlosSpanish  Felis, RubénSpanish  
 
 See MoreRecent Featured Articles Top 20 Most Epic Anime Fight/Battle ScenesFighting is bad... but sometimes it can be so bad that it's good, right? Prepare yourself for some serious ass-kicking. We're counting down 20 of the greatest, coolest, and most epic anime fight scenes in anime history.by removed_user644,055viewsSpoilerRecommendationCollectionActionSupernaturalSuperhumanSci-fiVideoTop 25 Strongest Naruto CharactersThe Naruto franchise is host to a lot of ridiculously powerful ninja that can annihilate entire landscapes with ease, and even bring people back to life. Let’s take a look at the mightiest of them in this list of the strongest Naruto characters!by removed_user1,201,005viewsSpoilerCollectionNaruto 
   $(window).on('load', function(){
        $('#myanimelist .character-anime + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Anime List! No sign up required.</p>'
        });
        $('#myanimelist .character-manga + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Manga List! No sign up required.</p>'
        });
    });","Part I: 13-14, Part II: 16-17 Boruto: 32-33",,,"Part I: 158.5 cm-162.5 cm, Part II: 172 cm, Blank Period: 177 cm",Chūnin Exams Proctor (Boruto only),https://cdn.myanimelist.net/images/characters/13/433353.jpg
353,"Fujiwara, Takumi(藤原 拓海)",Initial D Fourth StageInitial D First StageInitial D Second Stage,6214,https://myanimelist.net/character/2819/Takumi_Fujiwara,"Age: 18, 19 (Project D) 
 Car: High tech two-tone Toyota Sprinter Trueno GT-APEX (AE86) 
 Likes: green seasons, rear end of his AE86, naps 
 Dislikes: showoffs, losing, girls that flirt 
  
 Takumi Fujiwara is the son of Bunta Fujiwara, the owner of a tofu shop in his hometown Akina. He rarely shows emotion. His best friend is Itsuki Takeuchi, who is a racing fan. 
  
 Takumi works part-time at a gas station with Itsuki, along with Iketani, who is a member of the local racing team, the Akina Speed Stars. In the first few episodes both Itsuki and Iketani think that Takumi has no driving ability because of Takumi's total disinterest in cars and racing. 
  
 The only one who suspects that Takumi has an advanced driving technique is the owner of the gas station, Yuuichi, as seen in the episode where Takumi discusses drifting technique with Iketani and Itsuki. In fact, Takumi has far more experience on the touge than Iketani and Itsuki, as Takumi has been driving his father's AE86 Trueno for five years (since he was 13 in his first year of junior high school, 7th grade), delivering tofu to a hotel at 4 a.m. every day. Takumi has been manipulated subtly by Bunta into developing driving skills, without being fully aware of Bunta's intent. 
  
 Bunta aside, Takumi's driving technique is the best on Akina; the very fact that he has managed to win races against far more powerful cars with his AE86 Trueno is testament to his driving skills. As a result of constant everyday practice and over 5 years of experience on Akina, Takumi is able to adapt to nearly any situation that presents itself during a race with astonishing speed. One factor in his nearly unparalleled driving skills is his ability to visualize the road in his head, thus making up for the lack of visibility no matter how dark the mountain pass may be. He is an instinctive rather than an intellectual driver. Although the mizutoshi technique is a great but difficult technique that his father taught him, it lead him to many victories through out the story.","18, 19 (Project D)",,,,,https://cdn.myanimelist.net/images/characters/14/296425.jpg
354,"Okita, Sougo(沖田 総悟)",Gintama: Dai HanseikaiGintamaGintama: Nanigoto mo Saisho ga Kanjin nanode Tashou Senobisuru Kurai ga Choudoyoi,6194,https://myanimelist.net/character/2282/Sougo_Okita,"Age: 18 
 Birthdate: July 8 
 Height: 170 cm 
 Weight: 58 kg 
 Occupation: First Division Captain Shinsengumi 
  
 Okita is the best swordsman in the Shinsengumi. Personality-wise, he tends to be light-hearted and somewhat childish though his speech is heavily deadpan. 
  
 He outwardly displays annoyance and dislike for Hijikata, and continuously tries to harm and humiliate him whenever given the chance.",18,July 8,,170 cm,First Division Captain Shinsengumi,https://cdn.myanimelist.net/images/characters/6/112926.jpg
355,"Greyrat, Eris Boreas(エリス・ボレアス・グレイラット)",Mushoku Tensei: Isekai Ittara Honki DasuMushoku Tensei: Isekai Ittara Honki Dasu Part 2Mushoku Tensei: Isekai Ittara Honki Dasu - Eris no Goblin Toubatsu,6171,https://myanimelist.net/character/111335/Eris_Boreas_Greyrat,"She is Rudeus' older cousin and also his student. When Rudeus was around seven years old, he taught her magic along with math and reading. She is a violent, strong and proud girl and merciless towards anyone who holds negative emotions and intentions against Rudeus.",,,,,,https://cdn.myanimelist.net/images/characters/14/324594.jpg
356,"Littner, Yoko(ヨーコ・リットナー)",Tengen Toppa Gurren LagannTengen Toppa Gurren Lagann: Mitee Mono wa Miteen da!!Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,6167,https://myanimelist.net/character/2063/Yoko_Littner,Age: 14;,14;,,,,,https://cdn.myanimelist.net/images/characters/13/529260.jpg
357,Norman(ノーマン),Yakusoku no NeverlandYakusoku no Neverland 2nd SeasonYakusoku no Neverland: Michishirube,6157,https://myanimelist.net/character/144916/Norman,"Age: 11 
 Birthday: March 21st (2034) 
 Height: 145 cm 
 Eye color: blue 
 Hair color: platinum blonde 
 Farm identifier: 22194 
 Farm: Grace Field House 
  
 One of the three perfect students and deuteragonists at the orphanage. He is the most intelligent out of all the kids always scoring highest on all his tests and is considered a child prograde. However, because of his status as a child prograde, he tries to handle every problem on his own.",11,,,145 cm,,https://cdn.myanimelist.net/images/characters/7/323859.jpg
358,"Sutcliff, Grell(グレル・サトクリフ)",Kuroshitsuji Picture DramaKuroshitsujiKuroshitsuji Recap,6153,https://myanimelist.net/character/12960/Grell_Sutcliff,Error processing https://myanimelist.net/character/12960/Grell_Sutcliff: 'src',,,,,,https://cdn.myanimelist.net/images/characters/3/109620.jpg
359,"Ryuuguu, Rena(竜宮 レナ)",Higurashi no Naku Koro niHigurashi no Naku Koro ni Special: Nekogoroshi-henHigurashi no Naku Koro ni Rei,6126,https://myanimelist.net/character/1427/Rena_Ryuuguu,"Age: 13 
 Birthdate: July 28 
 Height: 161 cm (5'3"") 
 Hobbies: collecting cute things, obsessing over cute things, treasure hunting 
 Famous quote: ""Friends. Those companions you speak of are only friends during those fun, yet unimportant times. When painful times come, they won't be your ally."" 
  
 Rena is the main female protagonist of the question arcs and a girl who returned from Ibaraki to Hinamizawa one year ago, she is in the same grade level as Keiichi. 
  
 She is very kind and takes care of Keiichi whenever possible, but is also naïve and is usually subject to light teasing by Keiichi, it is hinted later in the series that she loves him. She is distinguished by her obsession with things she perceives as adorable calling them kaaii (かぁいい, a slurred form of kawaii (かわいい), meaning ""cute""), which are usually moekko characters or items she finds while scouring the local dump. Generally, these things are not considered cute by others. 
  
 She also utters the phrase hau (はぅ) when excited or flustered, and has a habit of repeating phrases at the ends of her sentences, most famously ""kana? kana??"" (かな? かな??, lit. ""I wonder, I wonder?""). 
  
 Every now and then, she goes treasure hunting in the town's trash heap, searching for ""cute"" things to collect, and whenever she sees something that grabs her attention, she proclaims, ""I wanna take it home!"" (お持ち帰り, Omochikaerī) and proceeds to try and do so, becoming virtually unstoppable during these intervals. 
  
 When in ""Take it Home"" mode, she comically becomes stronger and faster. Despite this disarming trait, Rena is shown to be amazingly observant and perceptive about the things around her (in Watanagashi-hen, she was able to deduce that both Rika and Satoko went to the Sonozaki house by looking through the contents of their fridge and a flier). 
  
 According to Mion, while Rena might seem cute herself, people should be careful not to anger her as she becomes quite scary when angered.",13,July 28,,"161 cm (5'3"")",,https://cdn.myanimelist.net/images/characters/13/264395.jpg
360,"Forger, Loid(ロイド・フォージャー)",Spy x FamilySpy x Family Part 2Spy x Family Season 2,6122,https://myanimelist.net/character/170258/Loid_Forger,"Agent Name: Twilight 
 Occupation: Intelligence Agent, Psychiatrist (False Front) 
 Known Alias: Loid, Robert 
 Height: 187 cm 
 Weight: 70-90 kg 
 Skills: Genius-level intellect, Espionage, Peak physical attributes, Expert marksmanship, Skilled hand-to-hand combatant, Master of disguise, Observation, Tennis skills 
 Hair color: Blond 
 Eye color: Blue 
 Address: 128 Park Ave. West Berlint 
  
 Codename ""Twilight"", he is an undercover spy and was tasked with the mission to create a fake family in order to infiltrate a politician by the name of Donovan Desmond. He thus in seven days was able to adopt a daughter called Anya Forger and marry a woman named Yor Briar. 
  
 It is unknown as to what his real name or age is, as he was a war orphan. He became a spy in order to make a ""world where children wouldn't cry."" 
  
 
   Voice Actors  Eguchi, TakuyaJapanese  Organ, AlexEnglish  Marques, GuilhermePortuguese (BR)  Hervé, GlenFrench  Knauer, TimGerman  de León, MiguelSpanish  Bressan, MattiaItalian  Motos, JesúsSpanish  
 
   $(window).on('load', function(){
        $('#myanimelist .character-anime + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Anime List! No sign up required.</p>'
        });
        $('#myanimelist .character-manga + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Manga List! No sign up required.</p>'
        });
    });",,,,187 cm,"Intelligence Agent, Psychiatrist (False Front)",https://cdn.myanimelist.net/images/characters/2/457747.jpg
361,"Wong Hau Pepelu Tivrusky IV, Edward(エドワード・ウォン・ハウ・ペペル・チブルスキー4世)",Cowboy BebopCowboy Bebop: Tengoku no TobiraCowboy Bebop: Yose Atsume Blues,6122,https://myanimelist.net/character/16/Edward_Wong_Hau_Pepelu_Tivrusky_IV,"The self-invented personal name of an elite net-diver from Earth, hacker ""Radical Edward"" is a very strange, somewhat androgynous, teenage girl assumed to be around 13 years in age. She has a feral aspect reflected in her mannerisms, bare feet, strange postures and gangling walk. 
  
 Ed could be considered a ""free spirit""; she is fond of silly exclamations and childish rhymes, easily distracted, and the show's primary source of physical humor. 
  
 Over the course of the show she rarely walks anywhere, preferring to run, crawl, flip, roll, walk on her hands, or even just saunter. Ed is always barefoot. In one episode, she considers putting on socks and shoes, but quickly removes them, as even wearing socks hampers her, and she falls over seconds after putting them on; she also appears to be exceptionally strong and flexible, being able to support her weight on her arms for several minutes at a time, and to scratch her nose with her toe. 
  
 In the English version, she almost always refers to herself in the third person. 
  
 Not much is known about her origins, only that she spent some of her earlier childhood in an orphanage after being left there by her father, a man named Afedersiniz Hesap Lütfen (he calls Ed ""Françoise"", and may be of Turkish origin as his name means ""excuse me, check please"" in Turkish). In the manga it is revealed that she was a friend of a timid young boy in the orphanage known simply as ""Tomato"" (which also happens to be the brand name scrawled in katakana on her PC) who, like Ed, knew a great deal about computers and the net. 
  
 Ed's primary use to the Bebop crew is as a hacker; she is widely known to be a whiz kid behind a computer. Ed's computer of choice is a carry-along Tomato desktop, an homage to the portable flatpanel-outfitted Apple IIc from the 80s, and when traveling by foot she will balance it on her head. 
  
 Ed has a strong rapport with Jet, who acts as a surrogate father, and Faye, who acts as something of a big sister (much to Faye's chagrin). Ed also seems to be the only person who can understand Ein (though in a few instances Jet could understand Ein also). 
 
   Voice Actors  Fahn, MelissaEnglish  Tada, AoiJapanese  Martiñón, IsabelSpanish  Otto, IlonaGerman  Bohlmann, SabineGerman  Legrand, PatriciaFrench  Yang, Jeong HwaKorean  Flamand, StéphaneFrench  Palomanes, LuisaPortuguese (BR)  Donati, GemmaItalian  De Guzmán, DianaSpanish  Celini, LetíciaPortuguese (BR)  
 
 See MoreRecent Featured Articles 20 of the Best Mature Anime of All TimeAnime aimed at teens is a lot of fun. But anime aimed at an older crowd is on a whole other level! You get more violence, gore, nudity and sex than you bargained for...which isn't entirely a bad thing.byMisterD981,122,725viewsCollectionActionCute GirlsCute GuysHorrorSupernaturalSci-fiTokyo GhoulTop 15 Best Anime HackersHave you ever been fascinated by how computers and various technological doohickeys works? Then, there's a pretty good chance that you've got a geeky mind...and that's no bad thing! And guess what else? You're in good company, as we're about to unveil the best anime hackers.byMisterD98419,024viewsCollectionCharacter AnalysisCute GirlsGIFTechnology 
   $(window).on('load', function(){
        $('#myanimelist .character-anime + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Anime List! No sign up required.</p>'
        });
        $('#myanimelist .character-manga + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Manga List! No sign up required.</p>'
        });
    });",,,,,,https://cdn.myanimelist.net/images/characters/16/30533.jpg
362,"Kirishima, Eijirou(切島 鋭児郎)",Boku no Hero AcademiaBoku no Hero Academia 2nd SeasonBoku no Hero Academia: Sukue! Kyuujo Kunren!,6101,https://myanimelist.net/character/118487/Eijirou_Kirishima,"Age: 15 
 Birthday: October 16 
 Height: 170cm (5'7"") 
 Affiliation: U.A. 
 Quirk: Hardening 
  
 A student in class 1-A whose Quirk Hardening allows him to harden his body to become nearly invulnerable. His Hero name is ""Red Riot,"" inspired by another hero, Crimson Riot, whom he admires. 
  
 (Source: Wikipedia) 
 
   Voice Actors  Masuda, ToshikiJapanese  Cook, JustinEnglish  Saemann, DennisGerman  Mendiant, CharlesFrench  Calatroni, JacopoItalian  Assali, HeitorPortuguese (BR)  Martínez Castañer, XavierSpanish  Casemiro, BrunoPortuguese (BR)  Penke, BenceHungarian  Leal, Miguel ÁngelSpanish  Belisario, LednerSpanish  
 
 by Taboolaby TaboolaYou May Like2 Insane Cards Now Charging 0% Intro APR Until Nearly 2027CompareCredit|SponsoredSponsoredBang Babang Bang!!!Flight Attendant Reveals How To Fly Business Class For The Price of EconomyAirlines|SponsoredSponsoredTrust  $(window).on('load', function(){
        $('#myanimelist .character-anime + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Anime List! No sign up required.</p>'
        });
        $('#myanimelist .character-manga + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Manga List! No sign up required.</p>'
        });
    });",15,,,"170cm (5'7"")",,https://cdn.myanimelist.net/images/characters/11/329529.jpg
363,"James Moriarty, William(ウィリアム・ジェームズ・モリアーティ)",Yuukoku no MoriartyYuukoku no Moriarty Part 2Yuukoku no Moriarty OVA,6087,https://myanimelist.net/character/150882/William_James_Moriarty,"A noble, a mathematics professor, and the first ever ""crime consultant,"" William is a genius who attempts to overthrow evil nobles and destroy the corrupt class system.",,,,,,https://cdn.myanimelist.net/images/characters/5/336567.jpg
364,"Leonhart, Annie(アニ・レオンハート)",Shingeki no Kyojin Movie 2: Jiyuu no TsubasaShingeki no Kyojin: Lost GirlsShingeki no Kyojin,6049,https://myanimelist.net/character/46490/Annie_Leonhart,"Age: 16,","16,",,,,,https://cdn.myanimelist.net/images/characters/9/206357.jpg
365,Greed(グリード),Fullmetal AlchemistFullmetal Alchemist: ReflectionsFullmetal Alchemist: Premium Collection,6009,https://myanimelist.net/character/351/Greed,"Greed is a greedy Homunculus, nicknamed the ""Ultimate Shield"". He is able to rearrange the carbon in his body to make his skin as hard as diamond, thus making himself almost impossible to injure. As his name implies he is a very avaricious character, who likes living in luxury, surrounded by powerful minions and beautiful women. Despite his generally greedy nature, he is shown to honestly care for his subordinates. He also has a habit of flipping people off in the manga. 
  
  In the 2003 anime series",,,,,,https://cdn.myanimelist.net/images/characters/10/78721.jpg
366,"Takasu, Ryuuji(高須 竜児)",Toradora!Toradora!: SOS! Kuishinbou BanbanzaiToradora!: Bentou no Gokui,6007,https://myanimelist.net/character/12295/Ryuuji_Takasu,"Age: 17-18 
 Birthday: April 11 
 Height: 172 cm (5'7"") 
 Blood type: A 
  
 The series' main protagonist, Ryuuji is a seventeen-year-old high school student in his second year, class 2-C. Due to biological inheritance, his sanpaku eyes make him look like an intimidating delinquent and causes many misunderstandings. He lives in a fatherless family with just his mother, and due to this, Ryuuji has learned to be self-sufficient. He is good at cooking and keeps everything in his house clean (to the point of obsession), and also excels at sewing. He holds a crush on Minori Kushieda, a girl in his class. He has a pet, parakeet named ""Inko-chan"" (""inko"" literally means ""parakeet"" in Japanese). Ryuuji often helps Taiga with domestic chores which she is unable to perform. At school, he is known as ""the only person able to stop the palmtop tiger,"" referring to Taiga's nickname. Due to the misunderstandings of his look, he tends to look down on himself and lacks self-confidence. Despite this, he is rather calm in most situations. He is responsible, smart and has great grades, even when compared to Yuusaku Kitamura, his best friend. He is dense when it comes to girls' feelings, especially about things between him, Taiga, Minori and Ami. His feelings and relationship to Taiga begin to change as he spends more time with her throughout the series. 
 
   Voice Actors  Majima, JunjiJapanese  Jeong, Jae HeonKorean  Veltroni, SimoneItalian  Kimerer, ErikEnglish  Ünal, OzanGerman  
 
 See MoreRecent Featured Articles Top 20 Most Passionate Anime Kiss ScenesStop blushing! It's time to be honest and admit that kisses make everything better, right? Check out this collection of 20 passionate anime kisses, they're sure to make your heart skip a beat or two!byFreeNightFalls1,505,572viewsSpoilerCollectionKawaiiLoveHotGIF12 Best Romantic Comedy Anime of All TimeGreat for a good laugh, a rainy day or cozying up to with a tub of ice cream; these are the top 12 romantic comedy anime of all time!byanimeChristian121,255,770viewsCollectionLove 
   $(window).on('load', function(){
        $('#myanimelist .character-anime + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Anime List! No sign up required.</p>'
        });
        $('#myanimelist .character-manga + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Manga List! No sign up required.</p>'
        });
    });",17-18,,,"172 cm (5'7"")",,https://cdn.myanimelist.net/images/characters/7/514089.jpg
367,"Satou, Tatsuhiro(佐藤 達広)",NHK ni Youkoso!,6006,https://myanimelist.net/character/1839/Tatsuhiro_Satou,Error processing https://myanimelist.net/character/1839/Tatsuhiro_Satou: 'src',,,,,,https://cdn.myanimelist.net/images/characters/12/78390.jpg
368,"Shima, Rin(志摩 リン)",Yuru Camp△Yuru Camp△ SpecialsYuru Camp△ Season 2,5967,https://myanimelist.net/character/152119/Rin_Shima,"Rin is a young girl who enjoys camping. She usually camps by herself, until she meets Nadeshiko. 
  
 Rin has purple eyes, dark-purple hair, and pale skin. 
  
 When camping, she wears brown boots and black leggings, a pinkish dress, and a green sweater underneath a plaid grey shawl. She usually keeps her hair in a bun. Sometimes she also wears a white knit-cap and has her hair loose. In one of the episodes, Ena Saitou tied her bun into a small teddy bear. 
  
 (Source: Yuru Camp Wiki) 
 
   Voice Actors  Touyama, NaoJapanese  Botsu, AzumiPortuguese (BR)  Perez, CelesteEnglish  Fragoso, XimenaSpanish  
 
   $(window).on('load', function(){
        $('#myanimelist .character-anime + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Anime List! No sign up required.</p>'
        });
        $('#myanimelist .character-manga + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Manga List! No sign up required.</p>'
        });
    });",,,,,,"Error processing https://myanimelist.net/character/152119/Rin_Shima: Page.goto: Timeout 30000ms exceeded.
Call log:
navigating to ""https://myanimelist.net/character/152119/Rin_Shima"", waiting until ""load""
"
369,Genos(ジェノス),One Punch ManOne Punch Man SpecialsOne Punch Man 2nd Season,5941,https://myanimelist.net/character/73979/Genos,"Race: Human (Cyborg) 
 Age: 19 
 Height: 178 cm (5'10"") 
 Location: Z-City 
 Abilities: Cyborg Body 
 Occupation: Superhero 
 Level: S-Class; Rank: 14 
 Affiliation: Hero Association 
 Partner(s): Saitama 
  
 Genos is a 19-year-old cyborg and disciple of Saitama. He is always aiming to become stronger and fights for justice. As a registered Superhero, he is in the S-Class ranking at 14. 
  
 Genos has a mechanical body of a teenage young man, a pale looking face, blond eyebrows, black sclera and yellow piercing eyes and has blond spiky hair. Over his mechanical limbs, he wears black pants and black shoes. Genos sometimes sports new black mechanical arms, during the time when he sparred with Saitama, and during the time on preparing to stop a giant meteor, he equipped more block-shaped, black mechanical arms along with a small headgear. 
  
 Genos is an extremely serious character. He has a strong drive to get stronger than he is, and pesters Saitama to train him frequently. 
  
 (Source: One Punch-Man Wiki) 
 
   Voice Actors  Ishikawa, KaitoJapanese  Aquilone, FlavioItalian  Puig, EnricSpanish  Aguilar, ZachEnglish  Bourlé, BastienFrench  Sablik, NicoGerman  Di Fiori, MichelPortuguese (BR)  Torres, JhonnySpanish  
 
 See MoreRecent Featured Articles One-Punch Man Returns to Grand Summoners in a Powered-up CollaborationGet a FREE ★5 unit, special equipment, chat stickers, and more in the epic anime RPG Grand Summoners!byMAL_editing_team16,141viewsAdvertorial9 Anime Sequels, Spin-offs and Continuations We're All Excited AboutIt's time to revel in the hype and talk about the most anticipated anime sequels, spin-offs and continuations for this year and the next!byUnnamedhero168,864viewsSpoiler 
   $(window).on('load', function(){
        $('#myanimelist .character-anime + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Anime List! No sign up required.</p>'
        });
        $('#myanimelist .character-manga + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Manga List! No sign up required.</p>'
        });
    });",19,,,"178 cm (5'10"")",Superhero,"Error processing https://myanimelist.net/character/73979/Genos: Page.goto: Timeout 30000ms exceeded.
Call log:
navigating to ""https://myanimelist.net/character/73979/Genos"", waiting until ""load""
"
370,Tooru(トール),"Kobayashi-san Chi no Maid DragonKobayashi-san Chi no OO DragonKobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai",5939,https://myanimelist.net/character/136727/Tooru,Error processing https://myanimelist.net/character/136727/Tooru: 'src',,,,,,https://cdn.myanimelist.net/images/characters/11/322676.jpg
371,"Yabuki, Joe(矢吹 丈)",Ashita no JoeAshita no Joe (Movie)Ashita no Joe 2,5938,https://myanimelist.net/character/11804/Joe_Yabuki,"The protagonist of the story. He is known for his long bangs and for always wearing a worn out beige coat and a red flat cap. 
  
 Not long after birth he found himself in many orphanages and facilities. However, he quickly grew tired of the boring life and frequently escaped, eventually finding his way to the Doya Town the story takes place in. 
  
 Joe is rude and quick to fight, but he can also be very frivolous at times. Because of his rough upbringing he is a delinquent who likes his solitude, but he later grows to appreciate his new friends and rivals. He is not very good at understanding women, and essentially only treats them nice out of obligation. 
  
 Homeland/Country: Japan 
 Height: Around 5'5 to 5'6 (Looks smaller in Season 1, Looks taller in Season 2) 
 Occupation: Professional Boxer 
 Current Affiliation: Tange Boxing Gym 
 Weight Class: Bantamweight (115 to 118 Pounds Weight Limit) 
  
 Natural Weight: Bantamweight but this changes in the 2nd half of the series and Joe becomes a natural Lightweight (135 pounds Weight Limit) because of his growth spurt change in bone mass and muscle mass. Joe weighed himself at 132 pounds before the weightcut to keep competing at Bantamweight. 
  
 Boxing Style/Stance: Orthodox Stance, No Guard Stance, ""Turtle"" Cross Arm Stance and Brawler Stance/Infighter Stance 
  
 Signature Blows/Techniques/Speciality: The Cross Counter or Variations of it. Double Cross Counter, Triple Cross Counter. Left Jab, Body Blows, Gut Punch, Counter, Uppercut, Right Hook, Overhand Right and Corkscrew Blow/Punches",,,,"Around 5'5 to 5'6 (Looks smaller in Season 1, Looks taller in Season 2)",Professional Boxer,https://cdn.myanimelist.net/images/characters/9/328207.jpg
